"ptt-id","location-datetime-utc","location-latitude","location-longitude","location-quality"
10101,10/03/09 04:08 AM,57.157,-170.256,0
10101,10/03/09 05:07 AM,57.111,-170.216,"A"
10101,10/06/09 05:26 AM,57.194,-170.213,0
10101,10/03/09 04:26 AM,57.157,-170.199,0
10101,10/06/09 04:01 AM,57.205,-170.183,"B"
10101,10/04/09 04:45 AM,57.18,-170.181,1
10101,10/05/09 04:02 AM,57.167,-170.179,1
10101,11/10/09 03:11 AM,57.167,-170.179,0
10101,10/06/09 02:01 AM,57.161,-170.179,"A"
10101,10/14/09 02:28 PM,57.176,-170.177,2
10101,10/03/09 02:44 PM,57.162,-170.177,3
10101,10/04/09 02:30 AM,57.159,-170.176,2
10101,10/03/09 05:42 AM,57.158,-170.176,1
10101,10/03/09 02:48 PM,57.162,-170.175,3
10101,10/03/09 04:39 PM,57.162,-170.174,2
10101,10/03/09 03:31 PM,57.161,-170.173,3
10101,10/04/09 02:59 AM,57.164,-170.172,1
10101,10/04/09 04:11 AM,57.164,-170.172,2
10101,10/25/09 02:54 AM,57.169,-170.171,1
10101,11/09/09 03:49 AM,57.168,-170.171,3
10101,10/14/09 03:54 AM,57.17,-170.17,3
10101,10/04/09 05:50 AM,57.171,-170.168,0
10101,10/14/09 02:15 AM,57.178,-170.167,"A"
10101,10/04/09 03:08 PM,57.171,-170.166,2
10101,10/14/09 02:19 AM,57.171,-170.165,3
10101,11/10/09 03:38 AM,57.17,-170.165,3
10101,10/13/09 02:52 PM,57.17,-170.164,2
10101,10/05/09 02:34 AM,57.171,-170.163,3
10101,10/15/09 03:42 AM,57.171,-170.163,3
10101,11/09/09 03:37 AM,57.171,-170.163,3
10101,10/05/09 02:44 PM,57.17,-170.163,2
10101,10/06/09 02:09 AM,57.168,-170.163,"A"
10101,10/15/09 02:02 AM,57.174,-170.162,"A"
10101,10/14/09 03:58 AM,57.172,-170.162,3
10101,10/05/09 02:30 PM,57.171,-170.162,3
10101,10/15/09 04:55 AM,57.171,-170.162,"A"
10101,11/04/09 04:45 AM,57.171,-170.162,2
10101,10/05/09 05:40 AM,57.17,-170.162,2
10101,10/05/09 04:14 AM,57.169,-170.162,3
10101,11/09/09 05:27 AM,57.169,-170.162,1
10101,11/09/09 02:01 AM,57.166,-170.162,1
10101,10/15/09 03:36 AM,57.172,-170.161,3
10101,10/04/09 04:26 PM,57.171,-170.161,3
10101,10/05/09 02:25 PM,57.171,-170.161,2
10101,11/11/09 04:26 AM,57.171,-170.161,"B"
10101,10/03/09 04:26 PM,57.163,-170.161,"B"
10101,10/25/09 04:54 AM,57.171,-170.16,"B"
10101,10/13/09 02:38 PM,57.17,-170.16,3
10101,11/11/09 03:24 AM,57.17,-170.159,2
10101,10/03/09 03:24 AM,57.162,-170.159,1
10101,10/06/09 03:53 AM,57.181,-170.158,3
10101,10/05/09 05:56 PM,57.169,-170.158,2
10101,10/05/09 05:58 AM,57.166,-170.158,"B"
10101,11/04/09 03:08 AM,57.173,-170.157,"A"
10101,10/03/09 05:06 AM,57.177,-170.156,"A"
10101,11/09/09 02:08 AM,57.173,-170.156,2
10101,11/04/09 03:55 AM,57.172,-170.156,"A"
10101,11/11/09 05:07 AM,57.169,-170.156,1
10101,10/06/09 02:05 AM,57.155,-170.156,"A"
10101,10/04/09 05:23 AM,57.16,-170.151,1
10101,10/05/09 02:19 AM,57.164,-170.15,2
10101,11/11/09 05:00 AM,57.173,-170.149,1
10101,10/06/09 04:44 AM,57.218,-170.127,1
10101,11/11/09 05:38 AM,57.181,-170.119,0
10101,10/06/09 02:10 AM,57.186,-170.116,"B"
10101,10/06/09 05:43 AM,57.249,-170.095,0
10101,10/05/09 02:06 AM,57.195,-170.085,"B"
10101,10/15/09 02:02 PM,57.218,-170.078,"A"
10101,10/15/09 02:16 PM,57.219,-170.074,1
10101,10/06/09 02:24 PM,57.726,-170.004,"B"
10101,10/25/09 02:12 PM,57.137,-169.998,1
10101,10/25/09 02:23 PM,57.139,-169.994,1
10101,10/15/09 03:43 PM,57.241,-169.964,3
10101,10/15/09 03:56 PM,57.247,-169.954,3
10101,10/15/09 03:55 PM,57.246,-169.951,2
10101,10/06/09 04:00 PM,57.775,-169.933,"A"
10101,10/25/09 03:02 PM,57.147,-169.928,1
10101,10/06/09 04:03 PM,57.788,-169.922,"B"
10101,10/08/09 02:02 PM,58.86,-169.92,0
10101,10/06/09 05:39 PM,57.893,-169.899,3
10101,10/09/09 03:14 AM,58.94,-169.887,3
10101,10/25/09 03:41 PM,57.137,-169.886,"B"
10101,10/07/09 03:48 PM,58.508,-169.881,2
10101,10/09/09 03:43 AM,58.942,-169.873,1
10101,10/07/09 03:44 PM,58.501,-169.869,2
10101,10/07/09 03:34 PM,58.508,-169.868,3
10101,10/07/09 03:48 PM,58.508,-169.867,1
10101,10/07/09 02:04 PM,58.478,-169.86,1
10101,10/09/09 04:23 AM,58.938,-169.854,3
10101,10/09/09 04:56 AM,58.942,-169.853,1
10101,10/09/09 04:30 AM,58.94,-169.842,1
10101,10/06/09 05:44 PM,57.875,-169.836,0
10101,10/09/09 05:18 AM,58.937,-169.828,0
10101,10/25/09 03:50 PM,57.15,-169.828,"B"
10101,10/08/09 04:04 AM,58.793,-169.791,1
10101,10/08/09 05:41 AM,58.836,-169.79,1
10101,10/10/09 03:24 AM,58.903,-169.787,2
10101,10/08/09 03:26 AM,58.769,-169.786,1
10101,10/08/09 04:53 AM,58.815,-169.78,2
10101,10/08/09 03:16 AM,58.757,-169.777,1
10101,10/08/09 02:26 AM,58.758,-169.773,1
10101,10/08/09 05:09 AM,58.821,-169.77,2
10101,10/10/09 03:58 AM,58.892,-169.769,3
10101,10/10/09 04:42 AM,58.887,-169.76,2
10101,10/08/09 04:45 AM,58.813,-169.758,2
10101,10/10/09 03:02 AM,58.903,-169.745,3
10101,10/10/09 02:17 AM,58.914,-169.741,1
10101,10/10/09 02:31 AM,58.909,-169.741,"A"
10101,10/07/09 05:18 AM,58.154,-169.721,"A"
10101,10/10/09 05:01 AM,58.867,-169.719,"A"
10101,10/07/09 04:24 AM,58.115,-169.706,0
10101,10/07/09 03:37 AM,58.095,-169.694,2
10101,10/07/09 02:46 AM,58.09,-169.694,"A"
10101,10/07/09 03:38 AM,58.098,-169.692,1
10101,10/07/09 02:00 AM,58.102,-169.684,"B"
10101,10/07/09 05:19 AM,58.158,-169.678,2
10101,10/07/09 03:29 AM,58.098,-169.672,2
10101,10/07/09 05:11 AM,58.153,-169.666,2
10101,10/25/09 04:43 PM,57.181,-169.644,0
